iter	Logloss
0	0.6832382329
1	0.6741919196
2	0.6650666558
3	0.6565781182
4	0.6485904673
5	0.6406659545
6	0.633293093
7	0.626181144
8	0.6190251187
9	0.6130459437
10	0.6070253322
11	0.6023960925
12	0.5970185932
13	0.5918301175
14	0.5877271866
15	0.5834332036
16	0.5791053044
17	0.575205567
18	0.571532883
19	0.5676034837
20	0.56369638
21	0.5602621268
22	0.5570677109
23	0.5536412354
24	0.5505866537
25	0.547393622
26	0.5445400161
27	0.5418753839
28	0.5390418108
29	0.5367966935
30	0.5341422772
31	0.531637947
32	0.5291864698
33	0.5271334348
34	0.5250054126
35	0.5229139501
36	0.5211642344
37	0.519268853
38	0.5173914218
39	0.5161023852
40	0.5151354459
41	0.5133820107
42	0.5118501905
43	0.5104121381
44	0.5090716356
45	0.5077819456
46	0.5064579705
47	0.5051974869
48	0.5040846031
49	0.5029980301
50	0.5017219639
51	0.5007436347
52	0.4996642589
53	0.4988237124
54	0.4977980329
55	0.4967821833
56	0.4957542211
57	0.4949836759
58	0.4939911338
59	0.4930733597
60	0.4919124794
61	0.4910403999
62	0.4901068511
63	0.4892061481
64	0.488355461
65	0.487527335
66	0.4867275273
67	0.4860428254
68	0.4852367838
69	0.4845418815
70	0.4839664019
71	0.4834057439
72	0.4826797725
73	0.4821502653
74	0.4816133244
75	0.4808890479
76	0.4802542297
77	0.4795985463
78	0.4790667324
79	0.4784393795
80	0.4779251614
81	0.477468133
82	0.477004908
83	0.476509899
84	0.4759996078
85	0.4756934075
86	0.4752989162
87	0.4750220145
88	0.4746151354
89	0.4743572426
90	0.4738180941
91	0.4734411646
92	0.4730495867
93	0.4727155429
94	0.47229058
95	0.4718802771
96	0.4715893063
97	0.4712367645
98	0.4709165261
99	0.4706209405
100	0.4701889237
101	0.469763352
102	0.4694408181
103	0.4690868837
104	0.4685738025
105	0.4682715404
106	0.4679010009
107	0.4675552335
108	0.4672764796
109	0.4669621034
110	0.4666382517
111	0.466351276
112	0.4660611365
113	0.4657493065
114	0.4654711303
115	0.4651300559
116	0.4650041838
117	0.4647421226
118	0.4644503765
119	0.4642504775
120	0.4638217632
121	0.4633180013
122	0.4628477218
123	0.4624043647
124	0.4620397859
125	0.4617393631
126	0.4614082888
127	0.4613230864
128	0.4609345749
129	0.460706863
130	0.4604735376
131	0.4601839649
132	0.4596868086
133	0.4594523495
134	0.4593773486
135	0.4593230264
136	0.4590772776
137	0.4586587386
138	0.4584504618
139	0.458215143
140	0.4580114867
141	0.4575663677
142	0.457423563
143	0.4572263946
144	0.457038675
145	0.4567854751
146	0.4565301405
147	0.4563232596
148	0.4561419874
149	0.4559172914
150	0.455786143
151	0.4555599686
152	0.4552744044
153	0.4549529461
154	0.454540704
155	0.4542682353
156	0.4540763358
157	0.4539502464
158	0.4536814466
159	0.4534145052
160	0.4530624876
161	0.4527249692
162	0.4525587835
163	0.4523023801
164	0.4521230424
165	0.4518915018
166	0.4517060344
167	0.4513455493
168	0.4511139885
169	0.450943271
170	0.4508266264
171	0.4505221356
172	0.4503034606
173	0.4500237921
174	0.4498172368
175	0.4496240867
176	0.4494706442
177	0.4493560118
178	0.4491605619
179	0.4489478289
180	0.4486675625
181	0.4484982195
182	0.4482310782
183	0.4480233112
184	0.4478797017
185	0.4477715209
186	0.4476488003
187	0.4474316142
188	0.4471795202
189	0.4468867031
190	0.4466497672
191	0.4465128587
192	0.446320757
193	0.4461479466
194	0.4460264786
195	0.4458979548
196	0.4458187794
197	0.4455618942
198	0.4452859711
199	0.4451090287
200	0.4447876871
201	0.4446341138
202	0.444495882
203	0.4442544934
204	0.4441156062
205	0.4439780204
206	0.4438521378
207	0.4435762475
208	0.4433874678
209	0.4431379056
210	0.4429390209
211	0.4429322672
212	0.4427308365
213	0.4424736221
214	0.4422675123
215	0.4419755542
216	0.4417715695
217	0.4415941403
218	0.4413857142
219	0.4412211943
220	0.4409818877
221	0.4407171361
222	0.4407016972
223	0.4406250838
224	0.4404928016
225	0.4403247122
226	0.4401773772
227	0.4400274703
228	0.4398526689
229	0.4397481545
230	0.4396071753
231	0.4395952599
232	0.4393917993
233	0.4392222582
234	0.4389992328
235	0.438921699
236	0.4386522378
237	0.4385635391
238	0.4384717698
239	0.4381925291
240	0.4379814296
241	0.4378542472
242	0.4376768851
243	0.4375029551
244	0.4373391862
245	0.4371909896
246	0.4370454404
247	0.436982014
248	0.4367587477
249	0.4365619699
250	0.4363622984
251	0.4360740811
252	0.4359538493
253	0.4358327252
254	0.4356826611
255	0.4355338747
256	0.4354707386
257	0.4354639254
258	0.4353125688
259	0.4350716653
260	0.4348530394
261	0.4345235666
262	0.4343632424
263	0.4341287885
264	0.4339661247
265	0.433771872
266	0.4334972492
267	0.4333140547
268	0.4330992531
269	0.4327995629
270	0.4326612682
271	0.4324657232
272	0.432276702
273	0.4321868248
274	0.4320884183
275	0.4319443462
276	0.4318173269
277	0.4317961312
278	0.4316549515
279	0.43150431
280	0.4312994102
281	0.4310855709
