iter	Passed	Remaining
0	12	12415
1	34	16977
2	45	15270
3	60	15151
4	111	22151
5	125	20759
6	135	19212
7	146	18170
8	163	17953
9	177	17550
10	211	18974
11	377	31088
12	389	29555
13	400	28172
14	485	31879
15	498	30662
16	513	29679
17	595	32475
18	632	32673
19	643	31522
20	696	32483
21	713	31727
22	731	31084
23	787	32015
24	817	31900
25	941	35263
26	952	34321
27	961	33394
28	1010	33850
29	1023	33101
30	1035	32381
31	1068	32326
32	1085	31817
33	1122	31898
34	1214	33472
35	1224	32779
36	1313	34181
37	1331	33695
38	1351	33296
39	1425	34208
40	1436	33596
41	1448	33044
42	1535	34179
43	1548	33654
44	1565	33232
45	1589	32966
46	1614	32735
47	1631	32354
48	1712	33238
49	1724	32770
50	1737	32331
51	1765	32190
52	1782	31851
53	1801	31559
54	1830	31451
55	1842	31063
56	1858	30740
57	1900	30873
58	1921	30649
59	1939	30386
60	1999	30777
61	2011	30432
62	2030	30195
63	2069	30270
64	2083	29969
65	2097	29686
66	2118	29495
67	2129	29188
68	2142	28912
69	2191	29116
70	2214	28973
71	2259	29124
72	2277	28920
73	2293	28694
74	2320	28620
75	2337	28421
76	2355	28233
77	2383	28179
78	2402	28006
79	2427	27920
80	2463	27944
81	2476	27720
82	2508	27717
83	2542	27721
84	2565	27614
85	2584	27465
86	2621	27512
87	2634	27301
88	2647	27100
89	2654	26840
90	2686	26836
91	2704	26696
92	2718	26517
93	2749	26496
94	2762	26315
95	2771	26097
96	2810	26162
97	2820	25961
98	2831	25770
99	2866	25794
100	2881	25649
101	2961	26072
102	2971	25873
103	2991	25776
104	3001	25585
105	3051	25738
106	3074	25659
107	3126	25823
108	3178	25981
109	3190	25816
110	3206	25683
111	3310	26248
112	3329	26135
113	3341	25970
114	3368	25924
115	3383	25781
116	3408	25722
117	3432	25656
118	3443	25490
119	3504	25698
120	3515	25539
121	3526	25381
122	3611	25753
123	3631	25652
124	3641	25493
125	3735	25914
126	3754	25805
127	3761	25627
128	3789	25585
129	3811	25507
130	3837	25455
131	3852	25330
132	3869	25224
133	3884	25104
134	3889	24923
135	3897	24762
136	3938	24812
137	3951	24682
138	3966	24570
139	4007	24614
140	4021	24497
141	4032	24365
142	4061	24339
143	4084	24281
144	4153	24492
145	4167	24378
146	4178	24244
147	4198	24172
148	4216	24079
149	4232	23986
150	4249	23894
151	4314	24071
152	4328	23964
153	4339	23837
154	4370	23828
155	4384	23721
156	4429	23784
157	4445	23691
158	4458	23583
159	4513	23698
160	4534	23629
161	4583	23711
162	4600	23622
163	4649	23701
164	4659	23580
165	4671	23469
166	4688	23384
167	4703	23292
168	4717	23194
169	4731	23098
170	4741	22984
171	4750	22867
172	4756	22738
173	4768	22635
174	4775	22510
175	4782	22392
176	4793	22290
177	4807	22199
178	4819	22102
179	4830	22004
180	4839	21899
181	4845	21780
182	4858	21689
183	4874	21616
184	4888	21536
185	4896	21426
186	4906	21331
187	4920	21252
188	4927	21143
189	4935	21042
190	4941	20930
191	4950	20832
192	4956	20723
193	4962	20618
194	4972	20526
195	4979	20427
196	4984	20316
197	4989	20208
198	4995	20107
199	5002	20008
200	5010	19915
201	5015	19812
202	5019	19708
203	5026	19614
204	5031	19513
205	5036	19412
206	5043	19322
207	5048	19224
208	5053	19126
209	5062	19044
210	5067	18948
211	5073	18856
212	5081	18775
213	5098	18725
214	5110	18660
215	5119	18582
216	5125	18494
217	5131	18406
218	5142	18339
219	5152	18268
220	5160	18191
221	5172	18128
222	5177	18041
223	5188	17973
224	5194	17892
225	5202	17817
226	5210	17742
227	5216	17662
228	5222	17581
229	5229	17508
230	5236	17431
231	5244	17362
232	5252	17291
233	5268	17247
234	5281	17192
235	5298	17152
236	5306	17083
237	5316	17020
238	5331	16977
239	5342	16919
240	5361	16886
241	5371	16824
242	5377	16751
243	5385	16685
244	5390	16613
245	5396	16541
246	5406	16480
247	5417	16427
248	5426	16365
249	5438	16314
250	5448	16258
251	5456	16195
252	5464	16133
253	5470	16067
254	5484	16023
255	5494	15967
256	5499	15900
257	5505	15832
258	5526	15811
259	5533	15748
260	5542	15692
261	5549	15631
262	5557	15575
263	5564	15513
264	5579	15474
265	5591	15430
266	5608	15396
267	5616	15341
268	5624	15284
269	5633	15230
270	5639	15171
271	5651	15126
272	5659	15072
273	5673	15033
274	5688	14996
275	5696	14943
276	5705	14893
277	5713	14838
278	5722	14788
279	5732	14741
280	5738	14683
281	5753	14648
282	5776	14634
283	5785	14584
284	5796	14542
285	5802	14486
286	5810	14436
287	5816	14379
288	5830	14344
289	5840	14297
290	5847	14246
291	5860	14209
292	5873	14171
293	5879	14118
294	5890	14078
295	5913	14065
296	5928	14032
297	5937	13987
298	5944	13937
299	5957	13901
300	5968	13860
301	5982	13827
302	5987	13772
303	5993	13722
304	6001	13675
305	6007	13624
306	6013	13574
307	6021	13528
308	6027	13479
309	6034	13432
310	6046	13395
311	6060	13364
312	6067	13318
313	6076	13275
314	6083	13229
315	6094	13191
316	6102	13149
317	6118	13122
318	6127	13080
319	6138	13044
320	6150	13009
321	6158	12967
322	6167	12927
323	6174	12881
324	6182	12841
325	6189	12796
326	6203	12767
327	6216	12735
328	6222	12690
329	6231	12650
330	6237	12607
331	6247	12569
332	6253	12525
333	6261	12486
334	6272	12451
335	6284	12419
336	6299	12392
337	6319	12378
338	6330	12344
339	6343	12313
340	6349	12270
341	6360	12237
342	6366	12195
343	6383	12173
344	6404	12159
345	6410	12117
346	6416	12074
347	6428	12043
348	6437	12007
349	6443	11966
350	6453	11933
351	6462	11896
352	6471	11861
353	6477	11821
354	6506	11821
355	6519	11793
356	6526	11754
357	6534	11718
358	6540	11678
359	6549	11644
360	6557	11606
361	6567	11574
362	6574	11537
363	6585	11506
364	6595	11474
365	6601	11436
366	6610	11402
367	6616	11363
368	6625	11329
369	6631	11292
370	6647	11270
371	6661	11244
372	6674	11220
373	6681	11183
374	6690	11150
375	6697	11114
376	6705	11081
377	6714	11048
378	6725	11019
379	6740	10998
380	6752	10970
381	6760	10936
382	6768	10903
383	6773	10865
384	6779	10828
385	6785	10793
386	6790	10756
387	6802	10729
388	6819	10711
389	6849	10713
390	6863	10689
391	6875	10664
392	6914	10679
393	6926	10652
394	6938	10626
395	6990	10662
396	7002	10635
397	7016	10612
398	7042	10607
399	7057	10586
400	7068	10559
401	7105	10569
402	7122	10550
403	7133	10523
404	7170	10535
405	7186	10514
406	7199	10489
407	7211	10463
408	7239	10461
409	7250	10433
410	7261	10406
411	7297	10414
412	7309	10389
413	7323	10365
414	7332	10335
415	7348	10316
416	7359	10289
417	7371	10263
418	7402	10264
419	7419	10246
420	7457	10256
421	7469	10230
422	7482	10206
423	7502	10192
424	7523	10178
425	7544	10165
426	7583	10176
427	7595	10151
428	7606	10124
429	7618	10098
430	7642	10089
431	7666	10079
432	7679	10056
433	7698	10039
434	7720	10027
435	7739	10011
436	7764	10003
437	7789	9994
438	7824	9999
439	7838	9976
440	7849	9950
441	7880	9948
442	7891	9922
443	7906	9900
444	7930	9890
445	7947	9872
446	8037	9943
447	8048	9917
448	8062	9893
449	8100	9900
450	8120	9885
451	8129	9856
452	8144	9834
453	8154	9807
454	8166	9781
455	8179	9757
456	8207	9751
